,name,flavors
58,Costa Rica Palmichal Rio Jorco,"{'Berry': '0', 'Body': '4', 'Caramel': '2.5', 'Citrus': '0', 'Cocoa': '4', 'Floral': '0', 'Fruits': '0', 'Honey': '0', 'Nuts': '1', 'Rustic': '1', 'Spice': '2', 'Sugars': '3'}"
59,Costa Rica Red Honey Los Santos,"{'Berry': '0', 'Body': '4', 'Caramel': '2', 'Citrus': '0', 'Cocoa': '3.5', 'Floral': '0', 'Fruits': '1', 'Honey': '0', 'Nuts': '0', 'Rustic': '0', 'Spice': '0', 'Sugars': '3.5'}"
60,Costa Rica Tarrazu Cafetales de Dota,"{'Berry': '0', 'Body': '4', 'Caramel': '2.5', 'Citrus': '0', 'Cocoa': '4', 'Floral': '0', 'Fruits': '0', 'Honey': '0', 'Nuts': '2', 'Rustic': '0', 'Spice': '0', 'Sugars': '2'}"
61,Costa Rica Yellow Honey La Guaria,"{'Berry': '1', 'Body': '4.5', 'Caramel': '2', 'Citrus': '1', 'Cocoa': '4', 'Floral': '0', 'Fruits': '1.5', 'Honey': '0', 'Nuts': '0', 'Rustic': '0', 'Spice': '0', 'Sugars': '3'}"
62,Costa Rica Zarcero Finca Salaca,"{'Berry': '1', 'Body': '4', 'Caramel': '3', 'Citrus': '0', 'Cocoa': '4', 'Floral': '0', 'Fruits': '1.5', 'Honey': '0', 'Nuts': '2', 'Rustic': '0', 'Spice': '0', 'Sugars': '3.5'}"
63,El Salvador Apaneca Finca Miravalle,"{'Berry': '0', 'Body': '4', 'Caramel': '3', 'Citrus': '0', 'Cocoa': '4', 'Floral': '0', 'Fruits': '0', 'Honey': '0', 'Nuts': '2.5', 'Rustic': '0', 'Spice': '0', 'Sugars': '2.5'}"
64,El Salvador Comasagua San Antonio,"{'Berry': '0', 'Body': '4', 'Caramel': '3', 'Citrus': '0', 'Cocoa': '3.5', 'Floral': '0', 'Fruits': '0.5', 'Honey': '0', 'Nuts': '2', 'Rustic': '1', 'Spice': '0', 'Sugars': '2.5'}"
65,El Salvador Dry Process Finca San Luis,"{'Berry': '3', 'Body': '5', 'Caramel': '2', 'Citrus': '1', 'Cocoa': '3', 'Floral': '0', 'Fruits': '3.5', 'Honey': '0', 'Nuts': '0', 'Rustic': '2.5', 'Spice': '0', 'Sugars': '3'}"
66,El Salvador Finca La Esperanza,"{'Berry': '0', 'Body': '4', 'Caramel': '1.5', 'Citrus': '0', 'Cocoa': '4', 'Floral': '0', 'Fruits': '0', 'Honey': '0', 'Nuts': '2', 'Rustic': '0', 'Spice': '0', 'Sugars': '3'}"
67,El Salvador Finca Miravalle Bourbon,"{'Berry': '1', 'Body': '3.5', 'Caramel': '3', 'Citrus': '1.5', 'Cocoa': '3.5', 'Floral': '0', 'Fruits': '1.5', 'Honey': '0', 'Nuts': '2', 'Rustic': '0', 'Spice': '0', 'Sugars': '3'}"
68,El Salvador Finca Miravalle Tabi,"{'Berry': '0', 'Body': '4', 'Caramel': '2', 'Citrus': '0', 'Cocoa': '4', 'Floral': '0', 'Fruits': '0', 'Honey': '0', 'Nuts': '2', 'Rustic': '0', 'Spice': '0', 'Sugars': '3'}"
69,El Salvador Santa Ana Pacamara,"{'Berry': '0', 'Body': '3', 'Caramel': '2', 'Citrus': '1.5', 'Cocoa': '0', 'Floral': '0', 'Fruits': '1.5', 'Honey': '3', 'Nuts': '0', 'Rustic': '0', 'Spice': '0', 'Sugars': '3'}"
70,El Salvador Santa Ana Pacas,"{'Berry': '0', 'Body': '4', 'Caramel': '2', 'Citrus': '0', 'Cocoa': '4.5', 'Floral': '0', 'Fruits': '0', 'Honey': '1', 'Nuts': '2', 'Rustic': '0', 'Spice': '0', 'Sugars': '3'}"
71,Ethiopia Agaro Duromina,"{'Berry': '1.5', 'Body': '4', 'Caramel': '0', 'Citrus': '2', 'Cocoa': '3', 'Floral': '2', 'Fruits': '2.5', 'Honey': '3', 'Nuts': '0', 'Rustic': '0', 'Spice': '1', 'Sugars': '3'}"
72,Ethiopia Agaro Kedamai,"{'Berry': '0', 'Body': '4', 'Caramel': '0', 'Citrus': '2', 'Cocoa': '3', 'Floral': '2', 'Fruits': '2.5', 'Honey': '3', 'Nuts': '0', 'Rustic': '0', 'Spice': '2.5', 'Sugars': '3'}"
73,Ethiopia Agaro Kedamai Coop,"{'Berry': '0', 'Body': '4', 'Caramel': '0', 'Citrus': '2', 'Cocoa': '2', 'Floral': '2', 'Fruits': '2.5', 'Honey': '3', 'Nuts': '0', 'Rustic': '0', 'Spice': '3', 'Sugars': '2'}"
74,Ethiopia Bensa Asefa Qonqana,"{'Berry': '1', 'Body': '3', 'Caramel': '0', 'Citrus': '2', 'Cocoa': '0', 'Floral': '2.5', 'Fruits': '2', 'Honey': '0', 'Nuts': '0', 'Rustic': '0', 'Spice': '0', 'Sugars': '3.5'}"
75,Ethiopia Benti Nenka SWP Decaf,"{'Berry': '3', 'Body': '3.5', 'Caramel': '0', 'Citrus': '0', 'Cocoa': '3', 'Floral': '0', 'Fruits': '3', 'Honey': '0', 'Nuts': '0', 'Rustic': '2', 'Spice': '2', 'Sugars': '3'}"
76,Ethiopia Dry Process Benti Nenka,"{'Berry': '3.5', 'Body': '4', 'Caramel': '0', 'Citrus': '2', 'Cocoa': '2.5', 'Floral': '3', 'Fruits': '4', 'Honey': '0', 'Nuts': '0', 'Rustic': '2', 'Spice': '2', 'Sugars': '3'}"
77,Ethiopia Dry Process Bombe Basha,"{'Berry': '3.5', 'Body': '3.5', 'Caramel': '2.5', 'Citrus': '2', 'Cocoa': '2', 'Floral': '2.5', 'Fruits': '4', 'Honey': '0', 'Nuts': '0', 'Rustic': '1', 'Spice': '1', 'Sugars': '3'}"
78,Ethiopia Dry Process Buno Dambi Uddo,"{'Berry': '3.5', 'Body': '4', 'Caramel': '0', 'Citrus': '0', 'Cocoa': '2.5', 'Floral': '2', 'Fruits': '4', 'Honey': '0', 'Nuts': '0', 'Rustic': '2', 'Spice': '0', 'Sugars': '3.5'}"
79,Ethiopia Dry Process Dari Kidame,"{'Berry': '2', 'Body': '4', 'Caramel': '2', 'Citrus': '2.5', 'Cocoa': '3', 'Floral': '1', 'Fruits': '3', 'Honey': '0', 'Nuts': '0', 'Rustic': '2', 'Spice': '2', 'Sugars': '4'}"
